,userId,movieId
63619,414,4138
33791,230,1682
69622,448,8743
17117,109,231
63764,414,4721
61725,409,593
51627,332,93766
80388,509,344
93284,599,2012
96209,603,444
42412,288,1732
90305,587,1096
34509,232,45722
53514,353,158
33437,226,6502
8246,57,1370
75190,474,55071
91293,591,3717
64315,414,8533
39670,274,2657
10286,66,6947
43551,292,1136
47071,307,2329
94723,599,71282
35252,237,67255
37166,249,91622
17090,109,36
96230,603,534
22738,156,708
72853,469,3178
93337,599,2193
17091,109,39
55318,367,3360
57413,380,5010
32926,224,969
91157,590,34048
26897,182,5423
95847,600,50740
58913,384,1388
10975,68,4223
43166,288,68954
92673,599,104
69211,448,3552
53499,353,19
83338,528,1
65279,418,91500
97670,606,1837
16596,105,45722
44722,298,3301
99328,608,5444
10385,68,104
70449,448,149354
33100,226,441
49482,318,55765
23109,158,2109
31114,217,1367
9769,64,4034
70758,452,2502
8971,62,58803
94996,599,122892
6685,45,2124
92702,599,191
55350,367,3798
8360,57,2300
99021,608,2174
1215,10,78772
88723,573,1080
12018,74,58
36753,249,7004
82791,525,4018
75506,477,788
50310,325,1845
26355,182,1608
15864,103,69122
71205,455,111
96140,603,164
44280,294,2616
72208,465,1252
77139,482,1968
93652,599,3408
26744,182,4037
69804,448,68358
5987,42,912
87166,562,2379
100302,610,57637
28096,195,150
96629,603,2304
62839,414,1500
59467,387,1304
25728,177,87232
46780,307,235
74702,474,6979
8795,62,260
53827,355,2915
61239,401,48982
46309,305,54001
21204,140,1095
99325,608,5388
74893,474,8375
100036,610,7894
38376,263,4014
52986,349,230
36514,249,1884
93783,599,4010
61200,401,48
44029,294,466
90730,590,1385
59204,386,319
29459,202,908
55075,365,91529
48005,311,2355
14844,94,296
22675,155,3287
67052,432,86332
78154,484,7293
970,7,7143
33690,229,282
78655,489,1387
14632,91,6219
34167,232,5881
78495,489,153
20363,135,377
164,1,2529
4806,29,2872
67139,434,1196
56085,370,44191
38683,266,223
16967,106,99636
22831,156,1278
79394,492,1004
19327,125,26681
78633,489,1240
96109,603,32
5318,36,1396
21213,140,1200
26468,182,2344
24707,171,1210
21908,143,3526
95988,602,141
30862,216,3863
56275,372,1136
14769,93,1377
71092,453,3967
67768,438,2394
92716,599,229
54633,360,1616
21558,140,5747
68937,448,1953
39727,274,3000
41417,280,72407
31881,219,6711
16321,105,2966
33328,226,3703
97397,606,194
17336,111,2541
61270,401,170939
7186,50,2732
62610,414,805
62221,412,2719
63204,414,2702
32305,221,923
15651,103,1244
63090,414,2329
34731,232,71535
41681,282,55765
8863,62,4973
25387,177,6711
84470,542,4369
62631,414,904
77489,483,2490
52750,346,1132
75056,474,32584
99361,608,6157
73324,474,947
62010,411,2
71244,455,509
95831,600,45081
95419,600,2134
5105,33,1095
25539,177,45672
32528,221,6870
21024,139,58559
82144,520,8961
54065,356,36535
61643,408,48780
24816,174,432
40735,275,1809
28332,197,1968
76994,480,41569
51558,332,8874
88714,573,736
20443,135,1468
43663,292,3476
12121,74,6591
1576,16,318
93802,599,4063
90102,586,2762
92870,599,589
70238,448,111781
9451,64,159
16707,105,78499
50293,325,1544
12462,78,4571
28446,198,1732
7761,51,39414
72870,469,3405
44376,294,3685
50558,326,49530
42243,288,1015
97945,606,3996
20413,135,1215
31636,219,1393
66921,432,4963
3882,23,6773
6156,42,2694
72338,466,30793
99469,608,31696
17355,111,3177
22133,146,2688
100519,610,88327
100112,610,30793
88731,573,1196
91971,596,32587
8245,57,1356
33327,226,3688
30244,211,58559
69188,448,3390
66115,425,4967
76776,480,5956
11116,68,6708
22785,156,1089
9935,64,34437
42607,288,2517
17808,111,135861
69013,448,2369
16056,104,2795
3336,21,3635
46460,305,88812
16522,105,8957
15631,103,1059
65926,425,380
93958,599,4929
81739,517,3704
56262,372,1073
14314,91,1266
13098,84,102
394,4,1304
26149,182,273
71433,459,122922
612,6,126
81416,514,84772
4247,28,635
1552,15,115149
93334,599,2174
12928,82,6548
78241,485,380
92393,597,1769
54563,359,648
86488,560,71156
92602,598,593
1097,9,4993
43136,288,48416
85980,558,5387
86221,560,2706
97862,606,3176
92844,599,529
73236,474,556
43557,292,1210
42734,288,3161
84269,539,4886
88812,573,4102
39213,273,520
70886,453,588
20336,135,1
100784,610,140174
49828,318,143859
66389,428,337
8711,59,2944
24555,169,6378
47466,307,7321
21975,144,34
90976,590,3897
67222,434,4223
62556,414,593
59918,387,5296
81964,519,4447
81034,512,457
41971,287,223
5686,41,1222
137,1,2139
13769,89,53578
70388,448,136020
56867,379,454
67452,436,588
88200,569,50
33062,226,105
57583,380,8529
38528,265,531
50479,326,356
13892,89,102686
80825,509,112175
78553,489,552
31940,219,31878
82164,520,72998
91325,592,198
85199,553,58295
96403,603,1254
96392,603,1233
29345,201,2115
43854,292,83613
61550,406,44840
53698,354,2628
97211,605,2143
80176,504,852
1362,13,1639
23924,166,1580
76907,480,27839
65139,417,296
37315,249,112138
98294,606,8879
1762,17,60069
45900,304,1722
30935,217,316
67355,436,1
87353,563,2324
9307,63,5010
16209,104,94015
28640,199,1055
60076,387,7748
39632,274,2361
22091,144,8360
12137,74,8154
41054,278,2109
88617,572,1834
58359,381,5630
89846,582,122886
52892,347,160
62721,414,1196
46492,305,96079
53522,353,180
11128,68,6893
100667,610,107771
6151,42,2628
58100,381,34
89759,581,2959
31356,217,2605
98283,606,8601
85443,555,1258
66675,429,204
57629,380,27839
25252,177,3489
32687,222,3409
78599,489,949
86059,559,432
7211,50,5021
1151,10,6535
77130,482,1527
28734,199,1950
4684,28,55820
62408,414,257
92520,597,2518
18824,121,539
68557,446,509
71888,462,38198
39959,274,5080
29766,202,3699
21781,141,4979
53542,353,275
60875,393,7438
37324,249,114935
28337,197,2571
79750,495,127098
90791,590,2028
45390,298,106489
68435,445,780
23510,160,2455
17623,111,67087
21414,140,3827
53589,354,111
59576,387,2142
51914,337,66
30906,217,110
82258,522,1376
56003,370,318
38986,268,2145
52880,347,1
43952,293,2411
69605,448,8387
62810,414,1387
23569,160,3213
3095,20,3483
47942,310,1148
77236,483,48
63025,414,2124
73095,474,6
57103,380,1721
47608,307,48142
29960,206,1356
68414,444,593
25240,177,3257
88414,571,328
66617,428,5572
53993,356,4642
56341,372,1408
91846,596,2501
50069,322,8228
96867,603,3298
95030,599,139644
81339,514,5337
68580,447,44
42218,288,879
69958,448,87485
48872,317,4901
82786,525,3988
84944,552,432
3536,21,96004
16677,105,68237
62127,411,587
57917,380,94405
41343,280,5299
40892,275,4205
43993,294,312
74465,474,5572
73922,474,2929
86635,561,786
84622,544,1059
7649,51,3421
42097,287,6552
17214,110,527
78338,487,8874
74724,474,7051
68003,438,5879
28499,198,2986
5017,32,1197
17850,111,165103
13619,89,3022
1604,16,1203
26519,182,2706
24708,171,1214
43361,290,2240
322,4,342
67882,438,4033
57921,380,95004
98457,606,58295
68723,448,454
66429,428,1120
56511,375,1610
46684,306,104908
38568,265,1374
91370,592,500
54749,362,110
21408,140,3737
97584,606,1251
27222,184,168218
71356,458,48
98455,606,56174
78310,487,1198
12519,79,2791
29356,201,2321
44497,297,608
92536,597,2628
75917,477,34150
90697,590,1266
91914,596,5254
5551,39,3481
88127,567,151455
56757,377,6656
79517,495,527
50281,325,1304
59931,387,5541
10489,68,708
100536,610,91485
8724,59,3479
99098,608,2841
69064,448,2587
468,4,3176
57044,380,1258
89279,579,1917
97771,606,2421
53419,352,86880
26415,182,1961
91312,592,141
91725,594,8866
51548,332,7143
15426,100,4161
25537,177,45501
58929,384,2683
26674,182,3752
32338,221,1204
47530,307,31422
19405,125,76077
90664,590,1198
44750,298,3717
57587,380,8644
56519,375,2431
74951,474,8784
30415,212,81834
77250,483,180
96596,603,2117
89774,581,5995
63949,414,5437
84442,542,1997
52232,339,56367
11545,68,87430
29651,202,2463
28953,200,356
99898,610,5323
80552,509,6662
66366,428,69
91647,594,4200
38626,265,2858
32121,220,2011
36362,248,147374
55624,368,1918
48406,313,2034
10574,68,1287
44399,295,296
94109,599,6157
44936,298,6870
98267,606,8035
73208,474,466
75551,477,1252
2267,18,168252
85576,555,2115
68229,439,2355
9502,64,596
87082,561,149406
13149,84,334
87548,564,2706
9330,63,6874
23325,160,924
7056,47,166643
40088,274,6820
18384,117,172
63515,414,3809
47633,307,52375
46743,307,27
9277,63,3793
80698,509,63859
25567,177,51662
98974,608,1918
95213,600,616
91738,595,1711
84982,552,1617
57693,380,40732
3861,23,3181
97526,606,1059
63474,414,3686
32885,223,4306
24246,168,1086
15692,103,2080
97270,605,6958
52379,339,176751
69470,448,5540
57276,380,3264
43823,292,69844
25573,177,52604
79262,491,27808
89013,575,2542
21244,140,1396
99534,610,1
60432,391,306
11885,73,53125
74599,474,6373
31582,219,592
81428,514,109487
91633,594,2986
20332,134,590
94288,599,7845
40010,274,5816
76594,480,3527
51855,336,593
36445,249,1089
18328,116,2605
9979,66,1
11650,69,3793
15000,95,5445
58334,381,4878
88880,573,33162
50927,329,593
1090,9,2877
79614,495,6365
75678,477,2628
66973,432,8640
95366,600,1735
89605,580,5828
80430,509,1517
63099,414,2369
49833,318,148424
72738,469,2300
93565,599,3036
90064,586,587
49585,318,71838
34874,233,81845
17823,111,149352
97491,606,900
16800,105,106918
90986,590,3996
33392,226,5110
15278,99,292
69582,448,7257
80979,511,92259
81608,517,1029
77246,483,165
79591,495,4643
55246,367,1207
36564,249,2694
18934,122,3535
17725,111,100194
21201,140,1090
85730,555,2916
36131,246,68157
58547,381,69640
40778,275,2360
9910,64,8874
16809,105,108932
97126,604,442
64211,414,6870
22303,151,1
3393,21,7569
85051,552,3113
14820,94,17
88027,567,108190
50533,326,8873
96170,603,293
30628,215,296
76311,480,529
16395,105,4776
39254,274,87
85671,555,2518
45375,298,103539
94453,599,31553
29337,201,1968
35944,244,3703
73185,474,344
46453,305,87520
8532,58,168
11291,68,46723
91059,590,5476
82030,520,1358
32888,223,4973
53819,355,933
540,5,364
40214,274,27772
85440,555,1240
49063,318,1111
64112,414,6297
42261,288,1042
40811,275,2918
32703,222,4718
24092,167,924
93016,599,1183
24582,169,7614
93549,599,2985
6667,45,2021
21721,141,1265
98469,606,69604
16687,105,70286
64044,414,5949
7490,51,1093
28856,199,5481
6270,42,4027
47415,307,6619
66524,428,2947
32231,220,59258
37876,256,109487
91419,593,892
2296,19,107
96693,603,2580
34113,232,4886
51010,330,589
51200,331,318
85411,555,1036
94671,599,60074
32103,220,1265
91995,596,49530
46859,307,724
92244,597,909
1239,10,98203
31931,219,27773
53622,354,924
82865,525,6564
86212,560,2628
89633,580,6692
54227,357,1208
62098,411,427
50492,326,2020
83240,527,1961
64361,414,8985
3715,22,6539
24667,171,592
48045,312,724
80015,501,73
42312,288,1252
11227,68,31696
35706,240,1359
92208,597,442
47317,307,5151
60940,394,50
871,6,1073
66667,429,161
69724,448,50005
21249,140,1465
85845,555,3840
37002,249,68319
27245,184,180987
7946,54,339
20165,132,5669
78832,489,3825
90262,587,141
70136,448,102720
50205,325,32
79343,492,692
7112,50,1
25591,177,55765
64528,414,45950
40821,275,3083
18731,119,134853
48459,313,2643
50892,328,79132
27115,183,3247
98145,606,6350
25472,177,25827
34880,233,92259
7443,51,339
43400,290,2788
27054,182,8784
47024,307,2012
12257,75,8865
31384,217,2802
53956,356,3147
17600,111,59784
94407,599,26870
8155,57,899
84264,539,3301
54178,357,593
54650,361,231
2808,19,2804
100623,610,102802
74755,474,7116
31621,219,1221
44863,298,5502
75589,477,1690
20272,133,185
96513,603,1684
98300,606,8969
14280,91,1136
10436,68,368
90502,589,527
53451,352,103341
67114,434,586
49516,318,61236
69201,448,3498
40662,275,1188
4755,28,68358
16748,105,91500
76271,480,288
56042,370,2618
42770,288,3396
57832,380,70286
81391,514,54997
5379,38,21
93970,599,4992
32293,221,780
24096,167,1120
8197,57,1184
94584,599,47793
77265,483,296
41733,284,10
9735,64,3421
60544,391,1258
44620,298,1274
53479,352,122882
45624,301,8949
7738,51,7000
82990,525,66203
3462,21,59429
70986,453,2353
48403,313,2021
13034,83,7143
5196,34,589
37439,250,3101
1977,18,4993
12063,74,2300
13456,86,7153
93596,599,3186
98159,606,6553
59455,387,1276
11275,68,44665
56068,370,6377
64547,414,47518
19202,124,1617
83485,532,6
16499,105,7458
64795,414,78499
29596,202,1961
40045,274,6323
73693,474,2106
87813,567,1237
89668,580,7980
91794,596,1275
97201,605,1881
6025,42,1343
46949,307,1333
55629,368,1957
87622,564,82167
73584,474,1748
68021,438,6156
57204,380,2594
37228,249,98809
95857,600,55830
14236,91,608
94947,599,107999
68171,438,33004
74114,474,3606
43901,292,102903
46335,305,57640
86681,561,1374
21219,140,1221
7359,50,122898
7717,51,5459
9336,63,7254
62717,414,1190
88881,573,33493
24113,167,1380
49635,318,80553
73942,474,2987
60334,390,1199
66133,425,6157
73603,474,1912
28743,199,2150
78941,489,6503
32815,222,97168
15768,103,4881
73856,474,2644
28757,199,2353
66470,428,1907
15593,103,364
59432,387,1245
70172,448,105211
2404,19,640
2390,19,551
43622,292,2701
64623,414,52975
62404,414,249
70118,448,101415
75129,474,45666
41563,282,2791
21796,141,6539
13233,84,910
65212,418,593
86347,560,7460
1397,14,153
66444,428,1333
5874,41,150548
60418,391,150
23897,166,1089
96969,603,4024
28213,195,2916
60582,391,1711
48610,314,153
38067,260,4235
21387,140,3363
94103,599,6039
9410,63,96079
44387,294,3764
23402,160,1580
89524,580,3175
8669,59,1233
4335,28,2012
96349,603,1129
98690,608,110
88039,567,110553
38597,265,2268
96374,603,1202
52545,343,2571
44261,294,2408
4604,28,38886
39926,274,4732
60212,387,46970
27416,186,2078
18981,122,8644
22573,153,111659
52462,342,288
79465,493,3578
60825,393,1199
20793,137,1253
41000,276,637
84788,550,68954
15429,100,4571
63066,414,2263
12464,78,5541
44921,298,6548
77897,483,94810
85853,555,4003
84188,537,69122
26171,182,413
27945,191,111
50901,328,91535
16761,105,95377
3532,21,95170
69581,448,7247
42395,288,1617
21520,140,5108
11445,68,63131
11045,68,5219
84828,551,1721
89691,580,8970
28922,199,55247
21141,140,457
89764,581,4306
90830,590,2398
99241,608,4239
33691,229,288
40774,275,2352
34695,232,67186
36020,246,2571
22533,153,64957
87759,566,357
16723,105,84156
65592,420,62956
41460,282,1
82767,525,3483
72589,469,1234
61850,410,235
74157,474,3863
77566,483,3527
73172,474,296
1394,14,105
82782,525,3967
41482,282,588
8016,56,344
85520,555,1690
31987,219,46970
18605,119,8961
79280,491,86833
57333,380,3839
12199,75,260
53510,353,122
84398,541,552
8756,61,235
92445,597,2126
28472,198,2357
42845,288,3863
26168,182,377
4695,28,57640
67387,436,316
53525,353,196
29823,203,88744
40540,274,76077
7192,50,3034
19083,122,99007
36811,249,32213
91850,596,2642
47725,308,292
5510,39,1617
81873,517,78637
58329,381,4720
18138,114,79702
27463,186,2819
9022,62,87232
16269,105,1214
80438,509,1732
36392,249,158
