,rating
73456,4.0
38591,4.0
9949,4.5
29122,3.5
43009,3.5
54868,4.0
41604,4.5
45346,2.0
55762,2.0
508,3.0
98330,3.5
87931,0.5
202,4.0
87431,2.0
67360,3.0
32817,3.0
55335,4.0
22482,4.0
6649,4.0
29645,3.0
68935,4.0
83594,4.5
25888,5.0
53275,5.0
10347,4.0
56,5.0
25277,3.0
51948,5.0
86372,4.0
67647,3.5
41432,4.0
75002,4.0
13976,3.0
33636,5.0
18255,5.0
36259,4.0
84934,1.5
74150,4.0
16785,4.0
51659,3.5
83947,3.5
91351,4.0
36091,4.5
50390,3.0
64862,3.5
99827,4.0
65186,5.0
54392,3.5
15081,4.0
83023,3.5
60305,4.0
77727,4.0
56231,2.0
63090,5.0
80463,3.5
98861,4.0
77500,3.0
76361,3.5
59602,3.5
24124,1.0
74138,3.0
69658,2.0
33095,3.5
21308,4.0
83331,5.0
79250,3.5
49480,4.0
22070,4.0
13505,5.0
45049,1.0
73605,3.5
12712,1.0
69680,2.0
92425,3.0
86125,3.5
23777,5.0
14714,3.0
1182,5.0
27339,5.0
9387,5.0
98022,1.0
67783,4.0
260,5.0
36188,5.0
3963,4.5
24800,2.0
78360,4.5
29317,5.0
63933,3.0
36724,3.5
1644,3.5
26804,3.0
63009,2.0
12493,5.0
48144,3.0
26493,4.0
97997,2.5
85120,5.0
29063,4.0
33854,1.5
41956,3.0
57949,4.0
17911,2.5
64639,1.5
72054,4.0
8156,4.0
57568,4.0
95732,3.0
22956,3.0
26040,3.0
91805,3.0
79819,2.5
10353,4.5
90803,3.5
71429,4.5
14224,3.5
95640,4.0
48260,4.0
37422,5.0
85302,3.0
31985,4.0
79023,4.0
82807,2.5
36358,3.5
91946,3.5
56642,4.0
60912,5.0
23742,3.0
38972,5.0
47624,3.5
14564,2.0
94829,3.0
17117,3.0
28976,3.0
1018,1.0
62295,3.0
47705,4.5
9921,5.0
29440,3.0
51733,4.0
81952,4.5
68348,4.0
53394,4.0
33134,3.5
60359,4.5
97768,2.0
97726,4.0
25761,3.0
67285,4.0
88777,5.0
1488,3.0
21562,3.5
23948,4.0
42,3.0
64336,2.5
11512,4.0
44548,3.5
55608,3.0
82375,5.0
31506,4.5
59902,4.0
741,4.0
37526,5.0
61682,5.0
92829,2.0
78906,4.0
81281,1.5
33178,4.5
22283,4.0
63535,3.0
93622,3.5
88975,4.5
17153,3.0
18942,5.0
91533,4.5
13747,4.5
5521,3.0
12158,3.5
62414,4.0
39753,3.5
95657,2.0
22403,4.5
70136,2.5
4636,2.5
82623,3.5
72931,4.0
52664,5.0
16324,4.5
37815,5.0
28759,3.5
81916,2.5
25716,2.5
28192,4.0
49208,3.0
76547,3.0
86399,3.0
70010,1.5
9380,4.0
33755,2.5
84100,4.0
14823,5.0
10144,5.0
48700,3.0
29727,4.0
58833,3.5
96501,5.0
75079,3.5
98819,2.5
79563,4.0
30803,4.0
22291,3.0
4841,4.5
34386,2.0
88889,4.0
90789,3.5
65712,4.0
88168,1.5
77051,4.5
98679,4.5
35951,3.0
93099,3.0
8141,3.0
75825,3.5
93145,2.0
80652,3.5
79052,3.5
2686,2.0
45726,4.0
99674,3.0
55508,4.0
20394,4.0
44308,3.0
91468,4.5
74454,2.0
82032,4.0
97129,4.0
88737,4.5
68137,5.0
27953,2.0
86066,2.0
98192,3.0
76167,4.0
46864,4.0
85148,3.5
21280,4.0
7498,5.0
68375,4.0
10657,3.0
37983,4.0
74700,3.5
89334,3.5
67821,3.5
13601,3.0
30802,4.0
11127,1.0
43705,3.0
92360,2.0
118,5.0
8771,5.0
31294,3.0
91623,5.0
49008,3.5
63505,4.0
86204,4.0
48785,3.0
45531,4.0
80510,4.0
58913,1.0
64894,4.5
34287,3.0
39678,2.5
39763,2.0
62796,4.0
100402,4.5
72523,5.0
49856,4.5
75361,4.0
94304,2.0
93789,2.0
